#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 08 05 00  88 10.6 12.6  2.46  6.67  5.38  89 1008.5  24.9  24.6 999.0 99.0 99.00
2008 01 08 06 00  86  9.7 12.2  2.62  7.14  5.65  98 1009.2  24.8  24.6 999.0 99.0 99.00
2008 01 08 07 00  85 11.1 13.3  2.39 12.12  5.50 142 1009.9  24.8  24.6 999.0 99.0 99.00
2008 01 08 08 00  87  9.7 11.5  2.57  8.33  5.59  69 1010.3  24.8  24.6 999.0 99.0 99.00
2008 01 08 09 00  88  9.7 11.7  2.51  8.33  5.62  71 1010.4  24.7  24.5 999.0 99.0 99.00
2008 01 08 10 00  91 10.5 11.9  2.47  8.33  5.58  68 1010.3  24.7  24.5 999.0 99.0 99.00
2008 01 08 11 00  85 10.0 12.2  2.40  6.67  5.52  97 1009.7  24.6  24.5 999.0 99.0 99.00
2008 01 08 12 00  88  9.9 11.7  2.52  7.69  5.55  76 1009.3  24.6  24.5 999.0 99.0 99.00
2008 01 08 13 00  88 10.2 12.3  2.48  8.33  5.42  75 1008.9  24.6  24.5 999.0 99.0 99.00
2008 01 08 14 00  86 10.1 12.3  2.59  9.09  5.70  60 1009.2  24.6  24.5 999.0 99.0 99.00
2008 01 08 15 00  88 10.3 11.7  2.58  7.14  5.47  95 1009.3  24.5  24.5 999.0 99.0 99.00
2008 01 08 16 00  86  9.8 11.5  2.72  9.09  5.75  72 1009.9  24.5  24.5 999.0 99.0 99.00
2008 01 08 17 00  88  9.9 11.6  2.71  9.09  5.71  51 1010.9  24.5  24.5 999.0 99.0 99.00
2008 01 08 18 00  88 10.5 12.3  2.59  6.67  5.56  96 1011.7  24.7  24.5 999.0 99.0 99.00
2008 01 08 19 00  90  9.8 11.1  2.56  8.33  5.77  57 1012.4  24.7  24.5 999.0 99.0 99.00
2008 01 08 20 00  92 10.6 12.3  2.53  7.69  5.71  90 1012.2  24.9  24.6 999.0 99.0 99.00
2008 01 08 21 00  90 11.0 13.1  2.54  9.09  5.67  53 1011.9  24.8  24.6 999.0 99.0 99.00
2008 01 08 22 00  92  9.8 11.9  2.58  7.14  5.51 103 1011.4  24.8  24.7 999.0 99.0 99.00
2008 01 08 23 00  93 10.7 13.3  2.56  9.09  5.73  61 1010.7  24.8  24.7 999.0 99.0 99.00
2008 01 09 00 00  88 11.1 12.7  2.60 10.00  5.60  57 1009.5  24.8  24.7 999.0 99.0 99.00
2008 01 09 01 00  88 10.9 12.3  2.47  7.14  5.50  80 1008.8  24.7  24.7 999.0 99.0 99.00
2008 01 09 02 00  88 10.5 12.7  2.65  7.69  5.63  94 1008.4  24.7  24.7 999.0 99.0 99.00
2008 01 09 03 00  87 10.6 12.5  2.61  7.14  5.56  89 1008.6  24.7  24.7 999.0 99.0 99.00
2008 01 09 04 00  88 11.0 12.8  2.76  7.69  5.57  96 1008.7  24.7  24.6 999.0 99.0 99.00
2008 01 09 05 00  87 10.2 12.2  2.60  8.33  5.61  83 1009.4  24.7  24.6 999.0 99.0 99.00
2008 01 09 06 00  88 10.6 13.0  2.63  7.14  5.55 101 1010.1  24.6  24.6 999.0 99.0 99.00
2008 01 09 07 00  89 10.4 11.9  2.61  9.09  5.59  74 1010.9  24.6  24.6 999.0 99.0 99.00
2008 01 09 08 00  87 11.6 13.6  2.49  9.09  5.59  65 1011.1  24.6  24.5 999.0 99.0 99.00
2008 01 09 09 00  89 11.0 13.0  2.51  8.33  5.51  63 1011.2  24.6  24.5 999.0 99.0 99.00
